  COMPANY NAME, MOBILE,MAIL,WEBSITE,ADRESS,,
Asia Innovation Technology,1726858066,miitbddhaka@gmail.com,https://tricksvibe.com/ait/,"27 Haji Komor Uddin Tower, Ashkona-airport, Dhaka- 1230",,
ASK Telecom Ltd.,88029140292,saymashawkat@gmail.com,N/A,"Holding 8/6/1, Road 01, Shamoly, Sher-e-Bangla Nagar, Dhaka",,
ASL SYSTEMS LIMITED,8.80255E+11,rakib@asl.aero,www.asl.aero,"House 1 & 3 , Level 03, Road- 21/C, Nikunja 02, Khilkhet, Dhaka-1229, Bangladesh",,
Atova Technology,+88 01713615831,support@atovatech.com,www.atovatech.com,"Plot-Ga, Block-D, Satmasjid Super Market (3rd Floor), Mohammadpur Bus Stand, Mohammadpur, Dhaka",,
ATPL Dhaka,8.80171E+12,atpldhaka@gmail.com,N/A,"Uttara Tower, Level 5, 1 Jashimuddin Avenue, Sector 3, Uttara, Dhaka-1230.",,
Augmedix BD Ltd.,1730496861,rashednoman@augmedix.com,www.augmedix.com,"Suite 203, SS Steel Building, 17/C Panthapath, Dhaka",,
Automation Services Limited,8.80179E+12,info@automationservicesbd.com,www.automationservicesbd.com,"Operational Address: Casabella, House No -17, Road No- 128, Gulshan-1, Dhaka-1212 Permanent Address: Kha 116/1, South Badda, Dhaka 1212, Bangladesh",,
AWC Business Solutions Ltd.,0222-3355293,wahab_co@agni.com, ,"Hotel- Purbani, Annex-2 (4th floor), 1 Dilkusha C/A, Motijheel, Dhaka-1000",,
Ayesha Services (ASL BPO),1670210764,john@aslpreservationsolutions.com,https://www.aslpreservationsolutions.com/,"House 6, Road 3/F Sector 9, Uttara Dhaka, 5th Floor, Dhaka, Dhaka, 1230",,
Babylon Resources Ltd,9609003300,liakathossain@babylon-bd.com,www.brlbd.com,"2-b/1,Darusalam Road, Mirpur-1, Dhaka-1216",,
BacBon Limited,88028396601,info@bacbonltd.com,www.bacbonltd.com,"H# 13, (5thFloor), Block-c, Main Road, Banasree, Dhaka-1229.",,
Bangladesh Computer Institute,1708525994,tarikbci@gmail.com,www.bciit.net,"1/2 Asad Avenue, Asadgate Dhaka 1207",,
Bangladesh IT Institute,"+88 02 58052503-4, +88 01713044369","info@bditinstitute.com, ceo.biti@gmail.com",www.bditinstitute.com,"Opolok, 2nd & 3rd Floor, 225 Senpara Parbota, Mirpur 10, Dhaka 1216.",,
BASHUNDHARA TRAINING & TESTING CENTER (BTTC),"+8809617999777, +8801762696042",bttc1064@gmail.com info@bashundhara-ttc.com,bashundhara-ttc.com,"123, Shekher Jayga, Khilgaon, Dhaka-1219",,
BDTASK Limited,258970255,bdtask@gmail.com,www.bdtask.com,"B-25, Mannan Plaza, 4th floor, Khilkhet, Dhaka 1229",,
Bizcope Digital Ltd.,8.80132E+12,hello@bizcope.com,bizcope.com,"89/7, RK Mission Road (Nadian Tower) Gopibag Bishwa Road, Dhaka-1203.",,
Blue Moon IT Training Institute,1916741835,colali2396@gmail.com, ,"ECB, Kalshi Road, Mirpur , Dhaka",,
Blue Pill Limited,8000555777,info@bluepill.com.bd,www.bluepill.com.bd,"Akij House, 198 Bir Uttam, Mir Shawkat Sarak, Gulshan Link Road, Tejgaon, Dhaka-1208",,
Blue Pineapple Technology Ltd,+880 1713-304945,HRD@BluePineappleTechnology.com,www.bluepineappletechnology.com,"Plot No. GA-25/4, YB Hasan Uddin Tower (5th & 6th floor), Pragati Sarani Road, Shahjadpur, Gulshan, Dhaka-1212, Bangladesh",,
BMIT Solutions Limited,1717014217,info@bmitsolutionsltd.com,www.bmit.com.bd,"House-31, Lake Drive Road, Nikunjo-1, Dhaka-1229",,
BPOSYL Ltd,1764511058,directors@bposyl.com,www.bposyl.com,"Registered Address : IVY Complex, Uddipon-47/2, Mirabazar. Sylhet - 3100 Billing Address - Raj Villa (Level-4), House-1, Road-1, Block-E, Shahjalal Uposohor, Sylhet - 3100",,
BRACNet Limited,02-41080481,regulatory@bracmail.net,bracnet.net,"7th Floor, Navana Yusuf Infinity, 16 Mohakhali C/A, Dhaka- 1212",,
Brain Station 23 LTD,8.8014E+12,info@brainstation-23.com,https://brainstation-23.com,"Mohakhali Branch: 8th Floor Bir Uttam AK Khandokar Road, Mohakhali C/A Dhaka 1212. Mirpur Branch: Level - 3, Mirpur DOHS Cultural Centre Road No-09, Mirpur DOHS, Pallabi,Dhaka-1216",,
BRIGHT RIVER BANGLADESH LIMITED,8.80255E+11,riajul@brightriverbd.com,www.brightriver.bd.com,"166-167, SYED NAZRUL ISLAM SARANI, SUITE 301-305, PURANA PALTAN, DHAKA-1000.",,
BRITISH BENGLA TRAVEL,1816103732,noim@britishbanglatravel.com,http://www.britishbanglatravel.com/,"Ataturk Tower, 22 Kemal Ataturk Avenue, Banani, Dhaka-1213",,
BROTECS TECHNOLOGIES LIMITED,"+88 02 8933139/42, +88 02 4109 0191/2",info@brotecs.com,www.brotecs.com,"20, Shahjalal Avenue, Level-8 & 10, Sector: 4, Uttara, Dhaka-1230",,
Business Automation Ltd.,02-55012128,sohana@batworld.com,www.batworld.com,"BDBL Bhaban, Level-9, 12 Kawran Bazar, Dhaka-1215",,
BYSL Global Technologies Limited,8.80967E+12,info@byslglobal.com,www.byslglobal.com,"Level 3, Akram Center, 212 S.S Nazrul Islam Sharani, Purana Paltan, Dhaka 1000",,
CALL CONNECTION,1772058703,callconnection.bd@gmail.com,N/A,"Ta-39/01 Badda Link Road, Middle Badda, Dhaka-1212",,
Call Point Business Solutions,1856666795,operations@callpointbusinesssolution.com,www.callpointbusinesssolutions.com,"6/B, 3/1, Mipur, Dhaka-1216",,
CAREERSHUB BANGLADESH LIMITED,1674942307,info@careershubbd.com,www.careershubbd.com,House No. 85,,
CBSG Informatix,8.80258E+11,info@cbsg-informatix.com,cbsg-informatix.com,"4/2 Block B (4th Floor), Lalmatia, Dhaka 1207",,
CDS System & Solution Limited,8.80168E+12,cdsssl2017@gmail.com,www.cdsssl.com,"Register Address: Kha-50, Khilkhet, Dhaka-1229. Corporate Address: House-21, Road-13, Sec-01, Uttara, Dhaka-1230.",,
Cefalo Bangladesh Ltd.,170233256,contact@cefalo.com, ,"House: 12, Road: 12, Dhanmondi , Dhaka: 1209",,
Chakladar Corp,1711506876,emanur2000@yahoo.com,www.jessoresheba.com,"260 Monowara Villa, Shahid Moshiur Rahman Road, Kololi, Jessore",,
Chaldal Limited,1999200200,legal@chaldal.com,www.chaldal.com,"Plot# 14, Sector# 12, Road# 6/C, Uttara Model town, Dhaka: 1230",,
Chowgacha Model Computer Institute & Technology(CMIT),1799428594,monir2u@yahoo.com,cmitgroup.org,"North side of Isapur Bottola, Kotchadpur road,Chowgacha,Jashore",,
CI- TECH,1819331933,info@chowdhuryinfotech.com,www.thebandf.com,"Plot- 553, 8th Floor, AS Tower, Road- 01, Panchlaish, Chattogram",,
Clarex Limited,8.80961E+12,info@clarex.co,www.clarex.co,"House-336, Lane-5, Baridhara, DOHS, Dhaka",,
CMED Health Ltd.,1742925686,info@cmedhealth.com,www.cmed.com.bd,"Apt- 04, House No-460, Road No-31, Mohakhali DOHS, Dhaka-1206.",,
Comet IT and Communication,1714065644,info.cometit@gmail.com,www.cometitltd.com,"EDB Trade Centre, 14th Floor, 93, KaziNazrul Islam Avenue, Kawran Bazar, Dhaka-1215",,
Computer World Ltd,1300234756,mahbub1408@gmail.com,www.cwbd.com.bd,"Call Center- 32, Topkhana Road, Chattagram Bhaban, (3rd floor , Purana Palton, Dhaka-1000 (IT Bangla) Head Office- 24/D, Topkhana road, Aysha Bhaban (2nd Floor), Segunbagicha, Dhaka-1000",,
Contain-i Limited,8.80171E+12,info@contain-i.com,www.contain-i.com,House: C-78,,
Corporate Care,+88 01866154654,hello@corporatecareit.com,www.corporatecareit.com,"40/5 Abdul Hadi Lane, (1st Floor), Bangshal, Dhaka-1000.",,
Craftsmen Ltd.,1730358641,info@craftsmenltd.com,www.craftsmanltd.com,"House- 272(1st floor), Lane: 03 (Eastern Road), DOHS Baridhara, Dhaka-1206",,
Creation Media,1845788633,creationmedia66@gmail.com,N/A,"Fayenaz Tower, (11-F), 37/2, Box Culvert Road, Purana Paltan, Dhaka-1000",,
Creative Clipping Path Ltd.,29635152,info@creativeclippingpath.com,http://www.creativeclippingpath.com,"House# 7, Level# 3 & 4, Dhanmondi, Dhaka-1207.",,
Creative IT Institute,+88 02 9611726,info@creativeit.com.bd,www.creativeit-ltd.com,"Momtaz Plaza (4th Floor) House-07, Road-04, Dhanmondi, Dhaka-1205",,
Creative Soft Technology Ltd,1824166811,nahida@creativesofttechnology.com,www.creativesofttechnology.com,"10/3 Free school street Road(Imtiaz Tower, Level-3A) Box Culvart Road, Kathal Bagan,Dhaka-1205",,
CTMRS LIMITED,1709638201,amitesh.roy@ctmrsgroup.com.bd,www.ctmrsgroup-bd.com,"2/5A, 2nd & 4th Floor, Road-5, Block-A, Lalmatia, Dhaka",,
Daisen Technologies Limited,1736518223,info@daisentech.com,www.daisentech.com,"242/T Tejgaon Industrial Area, Dhaka-1208",,
DBL DIGITAL LIMITED,01755-587237,palash.mallik@dbl-digital.com,https://www.dbl-digital.com/,"Capita South Avenue Tower (6th Floor), House # 50, Road # 03, Gulshan Avenue, Gulshan-1, Dhaka, PO : 1212, Bangladesh",,
DE TEMPETE LIMITED,1552425947,info@detempete.com,www.detempete.com,"Ababil Tower, House # 06 (4th Floor), Mohammadia Main Road, Dhaka 1207",,
Devnet Limited,02-8189349-50,info@devnetlimited.com,http://www.devnetlimited.com/,"Level-9 (East) BDBL Bhaban, 12 Kawran Bazar, Dhaka-1215.",,
Devo-Tech Technology Park Ltd,1711500990,info@devo-tech.com,https://devo-tech.com,"Plot-11, Road-113/A, Gulshan-2, Dhaka-1212",,
Dhaka Calls,9117140,info@dhakacalls.com.bd,www.dhakacalls.com.bd,"G#3, House# 55, Road# 9/A, Dhanmondi, Dhaka- 1209.",,
Dhooli,1711612377,lushamirza@gmail.com,www.dhooli.com,"195/2/1, Shantibagh, Dhaka-1217.",,
Dial 2 Support,1677058433,info@dial2support.com,www.dial2support.net,"House -389 ,Road-14, Savar DOHS , Nabinagar ,Ashulia ,Dhaka-1344",,
Diana Host Ltd.,8.80964E+12,khan.swadhin@gmail.com,www.dianahost.com,"Anam Rangs Plaza, Level-06, House- 61, Road-6/A, Dhanmondi, Satmasjid Road, Dhaka, bvangladesh-1209",,
Digicon Technologies Limited,+88 09610 110 110,info@digicontechnologies.com,www.digicontechnologies.com,"Corporate Office: 242/A Tejgaon I/A, Gulshan Link Road, Dhaka-1208. | Operation Center: Sofura Trade City(4th & 5th Floor), 1 Sujat Nagar, Mirpur-12,Pallabi, Dhaka-1216.",,
DigiFea,1966100888,info@digifea.com,www.DigiFea.com,"621/1, 621/2, 622 Begum Rokeya Avenue, West kazipara, Mirpur, Dhaka-1216",,
DIGITAL ENTREPRENEURS HUB,1674942307,info@dgenacademy.com,www.dgenacademy.com,"House No: 85 (Casa Carnival), Road No: 04, Block: B, Banani, Dhaka ?혀 1213, Banani Model Town, Dhaka Division, Bangladesh",,
Digital Hub Bangladesh Ltd.,29119703,info@digitalhubbd.com,digitalhubbd.com,"House: 89/A, Road: 8/A, Dhanmondi, Dhaka-1209",,
Digitouch Technology,8.80177E+12,info@digitouchbd.com,www.digitouchbd.com,"House # 398/A (5th Floor), Road # 29, New DOHS, Mohakhali, Dhaka-1206",,
DigiWorld Limited,1844046600,nazmul@digiworldbd.com, ,"Babylon Garden, Ka/11 Kalachandpur Main Road, Level 8, Baridhara Dhaka 1212",,
DIST Technical Training Center,1772862651,shovont@yahoo.com,www.distttc.com,"Paharpur, Shaheed Minar Mor, Sadar, Dinajpur",,
Dnet,9606003638,info@dnet.org.bd,dnet.org.bd,"4/8 Humayun Road, Block-B, Mohammadpur, Dhaka 1207",,
Doer Services Limited,"+8809606606606, +880257160830",bony.tasnim@doer.com.bd,http://doer.com.bd/,"Dilkusha Center (L-8), 28 Dilkusha, Dhaka-1000 Liaison office: Jibon Bima Tower (Level -13), 10 Dilkusha, Dhaka-1000 Development office: 5/5 Gaznabi Road, Mohammadpur, Dhaka",,
DOPPCALL,8.80197E+12,yasin@doppcall.com,https://doppcall.com/,"16/24, Sontek, Jatrabari, Dhaka 1236",,
DROOTY LTD.,01678-016513,harun@prontobd.com, ,"House # 14, Road # 02, Sector # 03, Uttara, Dhaka-1230",,
e-Connect BD Ltd.,1715010998,econnectbdltd@gmail.com,N/A,"Rupayan Shopping Square, Suit E-12, Plot-C, block-G, Sayem Subhan Anvir Road, Bashundhara, Dhaka.",,
e-Learning & Earning Ltd.,8.80177E+23,info@e-laeltd.com,www.e-laeltd.com,"Khaja IT Park, 2nd to 7th Floor, Kallyanpur Bus Stop, Mirpur Road, Dhaka-1207.",,
E&M Outsourcing,1753860306,info.eandmoutsourcing@gmail.com,www.eandmoutsourcing.com,"House:11/12,Road-7, Block-C, Bauniabadh, Kalshi,Mirpur, Dhaka-1216",,
EARN MONEY BD.COM,9639909090,masud96@gmail.com,www.earnmoneybd.net,"637/6, MONIPUR, MIRPUR, DHAKA-1216, Bangladesh",,
Earth Next Technologies Ltd,8.80184E+12,ceo@earthnexttechnologies.com,earthnexttechnologies.com,"Moon House, House: 19, Road: 13, Sector: 01, Uttara",,
EDU MAKER,1766333986,info@edu-maker.com,https://edu-maker.com,"Level: 04, House: 482, Road: 06, Avenue: 06, Mirpur DOHS, Dhaka- 1216",,
eGeneration Ltd,29843076,info@egeneration.com.bd,www.egeneration.com.bd,"Saimon Center, 5th Floor, House 4/A, Road No 22, Gulshan - 1, Dhaka",,
Emrazina Technologies,1711081498,info@emrazina.com,www.emrazina.com,"Flat-C2, House- 1188, Aveue-11, Mirpur DOHS, Dhaka-1216.",,
Enroute International Limited,"+8809610405060, +88028415310",mail@enroute.com.bd,www.enroute.com.bd,"Ranks Business Center (Level 4), Ka-218/1, Pragati Sarani, Dhaka.",,
ERED TECHNOLOGIES LIMITED,880 29022323,info@eredtechnologies.com,www.eredtechnologies.com,"House # 61/1, 61/2, Road # 4, Section # 12, Pallabi, Dhaka-1212",,
Essential Infotech,8.80168E+12,admin@essential-infotech.com,https://essential-infotech.com,"5 th Floor, H-12, Garib-e Newaj Avenue, Sector-13, Uttara, Dhaka",,
European IT Solutions Bangladesh,8.80172E+12,cd@euitsols.com,www.europeanit-inst.com,"Noor Mansion (3rd Floor),Plot#04, Main Road#01,Mirpur-10, Dhaka-1216",,
Eurosia Limited,8.80171E+12,mohieurosia@gmail.com,https://eurosiatechnologies.com,"Eurosia, 144/5G, Matikata, Dhaka- 1206",,
EV CYBER TEAM LIMITED,9612225538,info@euro-vigil.com.bd, ,"House-04, Road- 02, Block-J, Baridhara, Dhaka-1212",,
Event Box,8.80168E+12,sabrina@eventboxofficials.com,www.eventboxofficials.com,"House-23, Road-06, Block-D, Niketon, Gulshan",,
Exabyte Techno Consultant Ltd.,1717677451,mhshuvo29@gmail.com,exabytetechno.com,"House#845, Flat#D/2, East Shewrapara, Mirpur, Dhaka-1216.",,
Exceed Infotech,8.80171E+12,rakib.ahmed@exceeditbd.net,www.exceeditbd.net,"House 04, Road 27, Sector 07, Uttara, Dhaka-1230",,
EXPROCODER-IT,8.80173E+12,info@exprocoder.com,www.exprocoder.com,"Confidence tower, Bulding -02, Flat-7/E, Shahjadpur, Gulshan. Dhaka",,
Extent IT Institute,02-9119164,extentit.inst@gmail.com,www.extentit-inst.com,"87-92, B-Green Road, Farmview Super Market (5th Floor) Farmgate, tejgaon, Dhaka-1215.",,
EZZY AUTOMATIONS LTD.,-8711873,info@ezzyautomations.com,https://www.ezzyautomations.com/,"214, Road: 13, New DOHS Mohakhali, Dhaka-1206",,
Faithfone Call Center,9678800324,marketingfaith2@gmail.com,www.faithfone.co.uk,"Alibag Tower (2nd Floor),Nayorpul, Sylhet-3100.",,
FARHAN ENTERPRISE,8.80164E+12,ahamjadhossain@gmail.com, ,"Corporate Office: House # 8 A/10, Road # 13 (New) Dhanmondi, Dhaka-1205, Bangladesh",,
FeS Software Ltd.,1708599819,info@fessoftware.com,www.fessoftware.com,"House: 644, Road:9, Avenue: 4, Mirpur DOHS, Dhaka-1216, Bangladesh",,
Field Nation Ltd.,8.80192E+12,info@fieldnation.com,www.fieldnation.com,"House:23, Shah Makdum Avenue, Sector 12, Uttara, Dhaka 1230",,
FIFOTech,-44809929,info@fifo-tech.com,www.fifo-tech.com,"Vision-2021 Tower, Software Technology Park, 9th floor, Kawran Bazar, Dhaka-1215, Bangladesh",,
Finalytics,,aj@jayedcorp.com, ,"7th Floor, Green Orlando, 42/4/KA, Pragti Sarani, Baridhara, Dhaka.",,
Flash Sky Ltd,8.80194E+12,info@flashskyltd.com,www.flashskyltd.com,"31, KR Plaza, Level-9,Purana Paltan,Dhaka-1000",,
Fleet Bangladesh,1963999555,fleetbangladesh@gmail.com, ,"Head Office: H#55 Nowdapara, Airport Road, Rajshahi Corporate Office: House# 15, Road#5, Block F Banani, Dhaka",,
Freelancer Associate of Bangladesh Limited,1838017009,faofbd@gmail.com,http://faofbd.org/,"3/6, North Perarbag, 60ft Main Road, Mirpur, Dhaka-1216.",,
GBL Fintech Limited,8.80176E+12,info@globalpay.com.bd,www.globalpay.com.bd,"139, Sadharon BIMA-2, Level-10, Motijheel, Dhaka-1000",,
Genex Infosys Limited,8832278,pm@genexinfosys.com,www.genexinfosys.com,"Nitol Niloy Tower (Level 8), Nikunja C/A, Airport Road, Dhaka-1229 Operation Address: Mascot Plaza (level 4&5), Uttara, Dhaka",,
Genuity Systems Ltd,+880 961 188 8444,info@genuitysystems.com,www.genuitysystems.com,"Genusys Heights, House 623-624, Kazipara, Mirpur, Dhaka - 1216",,
Getco Bpo services Limited,,info@getco-bsl.net,www.getco-bsl.net,"House: 688, Road: 12, Baitul Aman Housing Society , Adabor, Dhaka: 1202",,
Global Softel Inc,1714042154,info@globalsoftel.com,www.globalsoftel.com,"Registered Address: BSCIC, Electronics Complex, Level-04, 1/1 Industrial Plot, Ave #04, Road #03 Mirpur #7, (Near 11 No, Bus Stand) Dhaka-1216. Operational Office Address: House #881, Road: #12, Ave #2, Mirpur DOHS, Dhaka-1216",,
Global Touch,8.80171E+12,globaltouchltt@gmail.com, ,"House no.10, Rd no,10/A, Sector no.09, Uttara, Dhaka",,
GogoBangla Logistics Limited,8.80162E+12,info@gogobangla.com,www.gogobangla.com,"47, Fakirapool, D IT Extension Road, Motijheel, Dhaka- 1000",,
Golden Harvest Infotech Ltd.,9678690690,infotech@goldenharvestbd.com,www.ghitbd.com,"Shanta Western Tower, Level-5, # 501 & 502 186, Gulshan-Tejgaon Link Road, Tejgaon I/A, Dhaka-1208, Bangladesh.",,
Graphic People Limited,28835608,biz@graphicpeoplestudio.com,www.graphicpeoplestudio.com,"Plot# 76/A, Road# 11, Block # M, Banani, Dhaka-1213",,
Graphics Associates International Limited,8.80961E+12,info@mindworkingasia.dk,www.mindworkingasia.dk,"100 Bir Uttam A.K. Khandakar Road, Mohakhali, Dhaka 1212",,
Graphics IT BD,,info@graphicsitbd.com,www.graphicsitbd.com,"House No 28, 3rd floor, Collage Road, Rangpur",,
Graphics View,8.80259E+12,info@graphicview.com,www.graphicsview.com,"House No: 2238/2 (1st Floor), Dokkin Munshipara, Sadar, Dinajpur-5200",,
Great & Smart Technology Limited,1975309001,gstechbd@gmail.com,https://www.gstech.com.bd,"36, Rokeya Manstion, VIP Road, Purana Paltan Line",,
GrowthMagnet Limited,8.80177E+12,info@growthmagnet.co,www.growth-magnet.com,"Registered Office: House- 04, 3rd Floor, Mohakhali C/A, Dhaka 1212 | Operational Office: House- 05, Ground Floor, Road- 6/A, Sector- 04, Uttara, Dhaka",,
GULF SECURITY SERVICES (PVT.) LTD.,222241423,gsslbd@gmail.com,www.gsslbd.com,"27/1. 4th Floor, INDIRA ROAD, FARMGATE, SHER E BANGLA NAGAR, DHAKA-1215",,
Gurukul institute of IT(GIIT),1716658644,info.gurukulit@gmail.com,www.giit.bd.com,"8/C Dilara Tower, 77 Bir Uttam C.R Dutta Road, hatirpool Dhaka",,
Hamletts Business Solutions Limited,1672988438,naz.rahman@hamletts.com, ,"Orin Tower, House-23, Road-113/A, Gulshan-2, Dhaka",,
Heart Medical Transcription Company,88029135266,hmtc91@gmail.com,www.heartmt.net,"Al-Amin Apon Hights, Suite 405-406, House 2711/B, Level 4, Road 3, Shamoli, Dhaka 1207.",,
HELINIX LIMITED,1886544220,bashar@helinix.org,www.helinix.org,"759, Satmasjid Road, Dhanmondi, Dhaka 1205",,
Hello World Communications Ltd.,031-2856161,mezbah@helloworldbd.com,www.helloworldbd.com,"787, Avenue Center (5th floor), C.D.A Avenue, Nasirabad, Chittagong",,
Hi-Tech Bangla (Bangladesh) Ltd.,8.80179E+12,info@htbbd.com,www.htbbd.com,"28, Kazi Nazrul Islam Avenue NAVANA Zuhura Square, Suite #11A, Dhaka 1000",,
Hi-Tech IT Solutions,1732512789,hitech069@gmail.com, ,"70/G Purana Polton Lane, Dhaka",,
Honest Traders Limited,,jahangir@sookh.com,www.sookh.com,"261/C, Tejgaon industrial area, Dhaka: 1208",,
IceBreakers Limited,8.80199E+12,info@icebreakers.tech, ,,,
Icon information Systems Ltd.,8.80255E+11,md@iconisl.com,www.iconisl.com,"12/D confidence Tower (12th fdloor), Tower 02. Shahjadpur",,
IFAD Information & Technology Limited,02-96327537,info@itracker.com.bd,itracker.com.bd,"Sonartori Tower(13th-18th floor) 12, Biponon C/A Sonargaon Road, Bir Uttam CR Dutta Rd, Dhaka-1000.",,
Ignite Tech Solutions,1833692607,ignitebpo2018@gmail.com,www.ignitebpo.biz,"Plot: 06, Block: A, Section: 06, Mirpur Main Road, Mirpur: 02, Dhaka-1216",,
iHelpBD,167206370,info@ihelpbd.com,www.ihelpbd.com,"House: 01 (Level 2), Road: 15 (New) / 28 (Old), Dhanmondi, Dhaka 1209",,
Impel Service & Solutions Limited (ISSL),9614004775,info@issl.com.bd,www.issl.com.bd,"Flat# B1. House# 71, Road# 07, Sector# 04, Uttara, Dhaka-1230",,
Impex Dhaka,1515840575,jahangir@impexdhaka.com,http://impexdhaka.com,"448, Purbo Podordiya, Satarkul, Badda, Dhaka-1212",,
Imprint Dhaka Limited,29886531,zaman@imprint.com, ,"House # 148, Road # 13/B, Block-E, Banani, Dhaka-1213.",,
Include Work,8801916-842929,shobuj25bd@gmail.com,https://includework.com/,"Road 7, House 2, Block-E, Kaderabad Housing, Mohammadpur Dhaka-1207",,
Infinity Technology International Limited,88027115298,info@infinitytechltd.com,www.infinitytechltd.com,"BCIC Bhahan (16th Floor), 30-31 Dilkusha C/A, Dhaka",,
InfoLink limited,8.80961E+12,info@infolinkbd.com,www.infolinkbd.com,"Plot 1,2, Road Hazi Gafur Avenue, Block H, Amulia Model Town, Demra, Dhaka 1360",,
Infosoft Valley Limited,02-48955264,infosoftvalley@gmail.com,http://www.indamait.com,"House: 02(4th Floor), Road:12, Sector:06,Uttara,Dhaka",,
InfoTitan Limited,1886647900,support@infotitanbd.com,www.infotitanbd.com,"Level-10, Alauddin Tower, House-17, Road-113/A, Gulshan-2, Dhaka-1212",,
InNeed Cloud BD Pvt. Ltd.,01779 824005,info@inneed.cloud,www.inneed.cloud,"Flat 11-JK,KA-90, Progoti Sharani, Kuril, Vatara, Dhaka, PO:1229 , Bangladesh",,
